numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,2,2019-02-12 19:09:44+00:00,FÁBIO TRAD,PSD,MS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,67.52,0.00,67.52
2019,2,2019-02-12 19:08:29+00:00,WALTER ALVES,MDB,RN,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,456.21,0.00,456.21
2019,2,2019-02-12 19:07:51+00:00,TIAGO DIMAS,SOLIDARIEDADE,TO,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,36.58,0.00,36.58
2019,2,2019-02-12 17:56:40+00:00,CLEBER VERDE,PRB,MA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,185.66,0.00,185.66
2019,2,2019-02-12 17:55:59+00:00,RICARDO GUIDI,PSD,SC,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,235.64,0.00,235.64
2019,2,2019-02-12 16:34:25+00:00,MAURO LOPES,MDB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,30.81,0.00,30.81
2019,2,2019-02-12 16:24:00+00:00,PEDRO CUNHA LIMA,PSDB,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,26.90,0.00,26.90
2019,2,2019-02-12 16:17:00+00:00,JOSÉ GUIMARÃES,PT,CE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,141.87,0.00,141.87
2019,2,2019-02-12 16:15:32+00:00,JOICE HASSELMANN,PSL,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,40.23,0.00,40.23
2019,2,2019-02-12 15:46:56+00:00,LEANDRE,PV,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,351.00,0.00,351.00
