abbreviation,state,country,cod
ab,Alabama,us,1
ak,Alaska,us,2
ar,Arkansas,us,3
az,Arizona,us,4
ca,California,us,5
co,Colorado,us,6
ct,Connecticut,us,7
de,Delaware,us,8
dc,District_of_Columbia,us,9
fl,Florida,us,10
ga,Georgia,us,11
hi,Hawaii,us,12
id,Idaho,us,13
il,Illinois,us,14
in,Indiana,us,15
ia,Iowa,us,16
ks,Kansas,us,17
ky,Kentucky,us,18
la,Louisiana,us,19
me,Maine,us,20
md,Maryland,us,21
ma,Massachusetts,us,22
mi,Michigan,us,23
mn,Minnesota,us,24
ms,Mississippi,us,25
mo,Missouri,us,26
mt,Montana,us,27
ne,Nebraska,us,28
nv,Nevada,us,29
nh,New_Hampshire,us,30
nj,New_Jersey,us,31
nm,New_Mexico,us,32
ny,New_York,us,33
nc,North_Carolina,us,34
nd,North_Dakota,us,35
oh,Ohio,us,36
ok,Oklahoma,us,37
or,Oregon,us,38
pa,Pennsylvania,us,39
pr,Puerto_Rico,us,40
ri,Rhode_Island,us,41
sc,South_Carolina,us,42
sd,South_Dakota,us,43
tn,Tennessee,us,44
tx,Texas,us,45
ut,Utah,us,46
vt,Vermont,us,47
va,Virginia,us,48
vi,Virgin_Islands,us,49
wa,Washington,us,50
wv,West_Virginia,us,51
wi,Wisconsin,us,52
wy,Wyoming,us,53
al,Alberta,canada,54
bc,British_Columbia,canada,55
mb,Manitoba,canada,56
nb,New_Brunswick,canada,57
lb,Labrador,canada,58
nf,Newfoundland,canada,59
nt,Northwest_Territories,canada,60
ns,Nova_Scotia,canada,61
nu,Nunavut,canada,62
on,Ontario,canada,63
Prince,Edward_Island,canada,64
qc,Quebec,canada,65
sk,Saskatchewan,canada,66
yt,Yukon,canada,67
dengl,Greenland_(Denmark),canada,68
fraspm,St_Pierre_and_Miquelon_(France),canada,69
