Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,AgeIn,Title,alone,FareIn
Morreu,3,male,1,0,A/5 21171,S,Adulto Jovem,Mr,1,0.0
Sobreviveu,1,famale,1,0,PC 17599,C,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,STON/O2. 3101282,S,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,1,0,113803,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,373450,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,330877,Q,Adulto,Mr,0,0.0
Morreu,1,male,0,0,17463,S,Idoso,Mr,0,2.0
Morreu,3,male,3,1,349909,S,Criança,Master,1,2.0
Sobreviveu,3,famale,0,2,347742,S,Adulto Jovem,Mrs,1,0.0
Sobreviveu,2,famale,1,0,237736,C,Jovem,Mrs,1,1.0
Sobreviveu,3,famale,1,1,PP 9549,S,Criança,Miss,1,0.0
Sobreviveu,1,famale,0,0,113783,S,Idoso,Miss,0,1.0
Morreu,3,male,0,0,A/5. 2151,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,1,5,347082,S,Adulto,Mr,1,2.0
Morreu,3,famale,0,0,350406,S,Jovem,Miss,0,0.0
Sobreviveu,2,famale,0,0,248706,S,Idoso,Mrs,0,0.0
Morreu,3,male,4,1,382652,Q,Criança,Master,1,2.0
Sobreviveu,2,male,0,0,244373,S,Adulto,Mr,0,0.0
Morreu,3,famale,1,0,345763,S,Adulto,Mrs,1,0.0
Sobreviveu,3,famale,0,0,2649,C,Adulto,Mrs,0,2.0
Morreu,2,male,0,0,239865,S,Adulto,Mr,0,1.0
Sobreviveu,2,male,0,0,248698,S,Adulto,Mr,0,0.0
Sobreviveu,3,famale,0,0,330923,Q,Jovem,Miss,0,0.0
Sobreviveu,1,male,0,0,113788,S,Adulto Jovem,Mr,0,1.0
Morreu,3,famale,3,1,349909,S,Criança,Miss,1,2.0
Sobreviveu,3,famale,1,5,347077,S,Adulto,Mrs,1,1.0
Morreu,3,male,0,0,2631,C,Adulto,Mr,0,2.0
Morreu,1,male,3,2,19950,S,Adulto Jovem,Mr,1,2.0
Sobreviveu,3,famale,0,0,330959,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,349216,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,PC 17601,C,Adulto,Rare,0,1.0
Sobreviveu,1,famale,1,0,PC 17569,C,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,335677,Q,Adulto Jovem,Miss,0,0.0
Morreu,2,male,0,0,C.A. 24579,S,Idoso,Mr,0,0.0
Morreu,1,male,1,0,PC 17604,C,Adulto Jovem,Mr,1,2.0
Morreu,1,male,1,0,113789,S,Adulto,Mr,1,2.0
Sobreviveu,3,male,0,0,2677,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,A./5. 2152,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,2,0,345764,S,Jovem,Miss,1,0.0
Sobreviveu,3,famale,1,0,2651,C,Jovem,Miss,1,0.0
Morreu,3,famale,1,0,7546,S,Adulto,Mrs,1,2.0
Morreu,2,famale,1,0,11668,S,Adulto Jovem,Mrs,1,0.0
Morreu,3,male,0,0,349253,C,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,2,SC/Paris 2123,C,Criança,Miss,1,1.0
Sobreviveu,3,famale,0,0,330958,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,S.C./A.4. 23567,S,Adulto,Mr,0,0.0
Morreu,3,male,1,0,370371,Q,Adulto,Mr,1,0.0
Sobreviveu,3,famale,0,0,14311,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,2,0,2662,C,Adulto,Mr,1,0.0
Morreu,3,famale,1,0,349237,S,Jovem,Mrs,1,0.0
Morreu,3,male,4,1,3101295,S,Criança,Master,1,1.0
Morreu,3,male,0,0,A/4. 39886,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,1,0,PC 17572,C,Adulto,Mrs,1,2.0
Sobreviveu,2,famale,1,0,2926,S,Adulto Jovem,Mrs,1,1.0
Morreu,1,male,0,1,113509,C,Idoso,Mr,1,2.0
Sobreviveu,1,male,0,0,19947,S,Adulto,Mr,0,1.0
Sobreviveu,2,famale,0,0,C.A. 31026,S,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,2697,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,1,2,C.A. 34651,S,Criança,Miss,1,1.0
Morreu,3,male,5,2,CA 2144,S,Criança,Master,1,1.0
Morreu,3,male,0,0,2669,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,0,0,113572,,Adulto,Miss,0,2.0
Morreu,1,male,1,0,36973,S,Adulto,Mr,1,2.0
Morreu,3,male,3,2,347088,S,Criança,Master,1,1.0
Morreu,1,male,0,0,PC 17605,C,Adulto,Mr,0,1.0
Sobreviveu,3,male,1,1,2661,C,Criança,Master,1,0.0
Sobreviveu,2,famale,0,0,C.A. 29395,S,Adulto Jovem,Mrs,0,0.0
Morreu,3,male,0,0,S.P. 3464,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,4,2,3101281,S,Jovem,Miss,1,2.0
Morreu,3,male,2,0,315151,S,Adulto Jovem,Mr,1,0.0
Morreu,2,male,0,0,C.A. 33111,S,Adulto,Mr,0,0.0
Morreu,3,famale,5,2,CA 2144,S,Jovem,Miss,1,1.0
Morreu,2,male,0,0,S.O.C. 14879,S,Adulto Jovem,Mr,0,2.0
Morreu,3,male,1,0,2680,C,Adulto Jovem,Mr,1,0.0
Sobreviveu,3,male,0,0,1601,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,348123,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,349208,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,374746,S,Adulto,Mr,0,0.0
Sobreviveu,2,male,0,2,248738,S,Criança,Master,1,1.0
Sobreviveu,3,famale,0,0,364516,S,Adulto Jovem,Miss,0,2.0
Morreu,3,male,0,0,345767,S,Adulto Jovem,Mr,0,0.0
